City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Kavaratti,10.5669,72.642,26.91,75,88,6.33,IN,1675722450
1,Atuona,-9.8,-139.0333,25.67,76,10,5.81,PF,1675722450
2,George Town,5.4112,100.3354,25.96,91,20,3.6,MY,1675722378
3,Hilo,19.7297,-155.09,26.27,88,75,1.79,US,1675722451
4,Cabo San Lucas,22.8909,-109.9124,27.56,47,0,6.69,MX,1675722431
5,Kieta,-6.2167,155.6333,26.1,87,100,2.7,PG,1675722451
6,Rikitea,-23.1203,-134.9692,26.14,74,69,4.13,PF,1675722451
7,Putina,-15.4667,-69.4333,10.3,68,78,5.45,PE,1675722452
8,Sydney,-33.8679,151.2073,24.83,77,75,3.09,AU,1675721878
9,Olinda,-8.0089,-34.8553,26.85,74,75,2.57,BR,1675722452
10,Jamestown,42.097,-79.2353,-0.55,93,100,3.09,US,1675722361
11,Hermanus,-34.4187,19.2345,22.11,92,12,2.47,ZA,1675722452
12,Port Lincoln,-34.7333,135.8667,18.34,78,0,6.98,AU,1675722453
13,Albany,42.6001,-73.9662,0.87,69,84,2.8,US,1675722403
14,Thompson,55.7435,-97.8558,-10.91,85,100,4.12,CA,1675722453
15,Upernavik,72.7868,-56.1549,-23.08,95,100,3.13,GL,1675722453
16,Yumen,40.2833,97.2,-3.89,46,79,3.71,CN,1675722454
17,Arona,28.0996,-16.681,14.35,62,40,2.57,ES,1675722454
18,Tilichiki,60.4667,166.1,-32.01,93,24,3.95,RU,1675722454
19,Busselton,-33.65,115.3333,19.04,77,98,4.68,AU,1675722454
20,Ponta do Sol,32.6667,-17.1,15.4,62,19,4.2,PT,1675722456
21,Saint-Philippe,-21.3585,55.7679,25.77,85,85,4.82,RE,1675722456
22,Vaini,-21.2,-175.2,28.09,83,75,2.06,TO,1675722457
23,Abhā,18.2164,42.5053,11.14,94,0,3.09,SA,1675722303
24,Elektrogorsk,55.8794,38.7919,-15.44,100,100,0.42,RU,1675722457
25,East London,-33.0153,27.9116,23.99,85,4,7.57,ZA,1675722255
26,La Ronge,55.1001,-105.2842,-8.86,62,75,7.2,CA,1675722457
27,Simi,9.5667,-12.35,26.47,51,100,3.06,SL,1675722458
28,Port Blair,11.6667,92.75,25.26,82,27,2.32,IN,1675722458
29,Chokurdakh,70.6333,147.9167,-31.88,99,100,1.05,RU,1675722458
30,Price,39.5994,-110.8107,4.51,51,0,7.72,US,1675722454
31,Ushuaia,-54.8,-68.3,11.79,87,75,5.66,AR,1675722342
32,Ecoporanga,-18.3733,-40.8306,25.68,66,0,2.45,BR,1675722459
33,Ilulissat,69.2167,-51.1,-18.99,78,100,3.6,GL,1675722459
34,Kropotkin,45.4375,40.5756,-3.27,90,100,8.1,RU,1675722460
35,Alofi,-19.0595,-169.9187,27.94,74,75,3.6,NU,1675722460
36,Kautokeino,69.0125,23.0412,2.83,90,100,9.67,NO,1675722460
37,Lompoc,34.6391,-120.4579,18.72,53,20,7.2,US,1675722256
38,Esim,4.8699,-2.2405,26.34,88,95,4.26,GH,1675722461
39,Sangre Grande,10.5835,-61.1177,27.25,87,98,4.05,TT,1675722461
40,Klaksvík,62.2266,-6.589,6.51,69,100,12.81,FO,1675722461
41,Boden,65.8252,21.6886,-1.0,91,100,4.64,SE,1675722462
42,Hasaki,35.7333,140.8333,6.79,57,100,1.1,JP,1675722462
43,Airai,-8.9266,125.4092,15.56,91,78,1.01,TL,1675722462
44,New Norfolk,-42.7826,147.0587,17.18,51,0,0.89,AU,1675722463
45,Ahipara,-35.1667,173.1667,21.35,62,9,3.33,NZ,1675722463
46,Cape Town,-33.9258,18.4232,21.06,89,40,5.81,ZA,1675722327
47,Saldanha,-33.0117,17.9442,18.03,97,76,7.09,ZA,1675722243
48,Izhma,65.0083,53.9113,-26.81,100,97,1.78,RU,1675722464
49,Ossora,59.2353,163.0719,-26.06,91,100,2.23,RU,1675722464
50,Leningradskiy,69.3833,178.4167,-33.39,97,98,3.71,RU,1675722464
51,Vestmannaeyjar,63.4427,-20.2734,2.23,55,100,14.49,IS,1675722169
52,Tecolutla,20.4833,-97.0167,22.92,75,71,7.17,MX,1675722465
53,Los Llanos de Aridane,28.6585,-17.9182,13.86,74,40,4.02,ES,1675722465
54,Inhambane,-23.865,35.3833,24.92,86,100,5.02,MZ,1675722465
55,Bengkulu,-3.8004,102.2655,24.16,84,86,2.81,ID,1675722466
56,Bluff,-46.6,168.3333,14.28,87,89,12.87,NZ,1675722466
57,Khatanga,71.9667,102.5,-40.67,100,56,1.45,RU,1675722466
